tamanho,media_salario,desvio_p_salario
"10,000 or more employees",39044.2427454041,84460.9107647081
"1,000 to 4,999 employees",26982.2401235518,47037.8145195738
100 to 499 employees,28502.9859104321,58588.8826900833
10 to 19 employees,22788.657769907,53938.0054347962
20 to 99 employees,28862.7406115448,65664.7641068332
"5,000 to 9,999 employees",28729.7178915032,62769.8254364018
500 to 999 employees,26916.7724672722,48343.0653697438
Fewer than 10 employees,23834.3312507,58470.0875065368
Not Specified,32268.2587213288,72016.2914520674
