sistema_operacional,media_hobby,media_geral,diff_media
BSD/Unix,11020.9652439584,13646.4901118006,2625.52486784217
Not Specified,3347.25065623867,4571.75451110509,1224.50385486641
Linux-based,19040.1456871326,22057.0255428579,3016.8798557253
Windows,18389.6095454378,23538.3984249667,5148.78887952888
MacOS,23720.2634967327,27433.1802623247,3712.91676559201
